,날짜,종가,전일비,시가,고가,저가,거래량
13,2014.12.23,1339000.0,6000.0,1346000.0,1349000.0,1337000.0,219527.0
1,2014.12.22,1345000.0,17000.0,1345000.0,1347000.0,1318000.0,358877.0
2,2014.12.19,1328000.0,62000.0,1294000.0,1328000.0,1287000.0,367130.0
3,2014.12.18,1266000.0,0.0,1266000.0,1279000.0,1252000.0,236165.0
4,2014.12.17,1266000.0,13000.0,1279000.0,1283000.0,1253000.0,261773.0
5,2014.12.16,1279000.0,6000.0,1270000.0,1289000.0,1268000.0,257895.0
9,2014.12.15,1273000.0,13000.0,1280000.0,1280000.0,1260000.0,286759.0
10,2014.12.12,1286000.0,19000.0,1303000.0,1304000.0,1274000.0,287945.0
11,2014.12.11,1305000.0,12000.0,1317000.0,1319000.0,1294000.0,409817.0
12,2014.12.10,1317000.0,32000.0,1346000.0,1346000.0,1317000.0,319556.0
13,2014.12.09,1349000.0,30000.0,1319000.0,1357000.0,1319000.0,271062.0
1,2014.12.08,1319000.0,17000.0,1303000.0,1321000.0,1302000.0,158331.0
2,2014.12.05,1302000.0,2000.0,1314000.0,1314000.0,1300000.0,112756.0
3,2014.12.04,1300000.0,2000.0,1302000.0,1303000.0,1298000.0,177427.0
4,2014.12.03,1298000.0,3000.0,1300000.0,1301000.0,1295000.0,194710.0
5,2014.12.02,1295000.0,0.0,1295000.0,1295000.0,1266000.0,184454.0
9,2014.12.01,1295000.0,8000.0,1294000.0,1298000.0,1287000.0,257337.0
10,2014.11.28,1287000.0,23000.0,1295000.0,1296000.0,1274000.0,196891.0
11,2014.11.27,1264000.0,63000.0,1273000.0,1301000.0,1264000.0,887556.0
12,2014.11.26,1201000.0,11000.0,1190000.0,1211000.0,1182000.0,245758.0
13,2014.11.25,1190000.0,30000.0,1224000.0,1224000.0,1190000.0,356221.0
1,2014.11.24,1220000.0,3000.0,1247000.0,1248000.0,1210000.0,205686.0
2,2014.11.21,1223000.0,13000.0,1219000.0,1226000.0,1217000.0,246727.0
3,2014.11.20,1210000.0,8000.0,1206000.0,1220000.0,1206000.0,200483.0
4,2014.11.19,1218000.0,2000.0,1238000.0,1238000.0,1212000.0,250055.0
5,2014.11.18,1220000.0,15000.0,1220000.0,1227000.0,1215000.0,215094.0
9,2014.11.17,1205000.0,11000.0,1190000.0,1220000.0,1182000.0,193879.0
10,2014.11.14,1194000.0,6000.0,1201000.0,1201000.0,1180000.0,212435.0
11,2014.11.13,1200000.0,30000.0,1228000.0,1232000.0,1199000.0,230943.0
12,2014.11.12,1230000.0,1000.0,1231000.0,1234000.0,1219000.0,181592.0
13,2014.11.11,1231000.0,37000.0,1255000.0,1261000.0,1227000.0,242828.0
1,2014.11.10,1268000.0,62000.0,1226000.0,1269000.0,1222000.0,384058.0
2,2014.11.07,1206000.0,2000.0,1218000.0,1218000.0,1195000.0,120604.0
3,2014.11.06,1204000.0,2000.0,1198000.0,1210000.0,1193000.0,171403.0
4,2014.11.05,1202000.0,15000.0,1215000.0,1225000.0,1194000.0,203243.0
5,2014.11.04,1217000.0,18000.0,1219000.0,1242000.0,1205000.0,260006.0
9,2014.11.03,1235000.0,9000.0,1250000.0,1252000.0,1216000.0,269516.0
10,2014.10.31,1244000.0,63000.0,1198000.0,1250000.0,1185000.0,772463.0
11,2014.10.30,1181000.0,51000.0,1129000.0,1183000.0,1115000.0,491339.0
12,2014.10.29,1130000.0,39000.0,1100000.0,1130000.0,1090000.0,274522.0
13,2014.10.28,1091000.0,4000.0,1090000.0,1100000.0,1086000.0,124877.0
1,2014.10.27,1095000.0,17000.0,1101000.0,1111000.0,1087000.0,167772.0
2,2014.10.24,1112000.0,18000.0,1103000.0,1112000.0,1092000.0,167569.0
3,2014.10.23,1094000.0,10000.0,1113000.0,1113000.0,1090000.0,170118.0
4,2014.10.22,1104000.0,21000.0,1097000.0,1104000.0,1090000.0,222554.0
5,2014.10.21,1083000.0,23000.0,1094000.0,1100000.0,1081000.0,235321.0
9,2014.10.20,1106000.0,17000.0,1115000.0,1117000.0,1101000.0,189535.0
10,2014.10.17,1089000.0,26000.0,1106000.0,1115000.0,1087000.0,325635.0
11,2014.10.16,1115000.0,10000.0,1116000.0,1121000.0,1104000.0,302966.0
12,2014.10.15,1125000.0,2000.0,1128000.0,1145000.0,1120000.0,282872.0
13,2014.10.14,1127000.0,19000.0,1127000.0,1146000.0,1120000.0,331451.0
1,2014.10.13,1108000.0,3000.0,1082000.0,1127000.0,1078000.0,226895.0
2,2014.10.10,1105000.0,25000.0,1100000.0,1114000.0,1099000.0,436749.0
3,2014.10.08,1130000.0,32000.0,1142000.0,1151000.0,1124000.0,294411.0
4,2014.10.07,1162000.0,11000.0,1162000.0,1186000.0,1162000.0,202983.0
5,2014.10.06,1151000.0,10000.0,1145000.0,1156000.0,1138000.0,425058.0
9,2014.10.02,1141000.0,15000.0,1165000.0,1165000.0,1141000.0,254655.0
10,2014.10.01,1156000.0,28000.0,1174000.0,1183000.0,1156000.0,238596.0
11,2014.09.30,1184000.0,11000.0,1185000.0,1188000.0,1165000.0,247586.0
12,2014.09.29,1195000.0,10000.0,1193000.0,1200000.0,1170000.0,188020.0
13,2014.09.26,1185000.0,29000.0,1152000.0,1185000.0,1148000.0,248271.0
1,2014.09.25,1156000.0,6000.0,1162000.0,1166000.0,1147000.0,388290.0
2,2014.09.24,1150000.0,11000.0,1152000.0,1161000.0,1141000.0,315784.0
3,2014.09.23,1161000.0,27000.0,1178000.0,1185000.0,1161000.0,390828.0
4,2014.09.22,1188000.0,22000.0,1204000.0,1204000.0,1180000.0,320442.0
5,2014.09.19,1210000.0,0.0,1223000.0,1223000.0,1206000.0,268701.0
9,2014.09.18,1210000.0,16000.0,1230000.0,1230000.0,1204000.0,189535.0
10,2014.09.17,1226000.0,20000.0,1207000.0,1226000.0,1207000.0,150915.0
11,2014.09.16,1206000.0,6000.0,1208000.0,1215000.0,1201000.0,141848.0
12,2014.09.15,1200000.0,1000.0,1207000.0,1208000.0,1196000.0,143230.0
13,2014.09.12,1201000.0,9000.0,1200000.0,1208000.0,1200000.0,217447.0
1,2014.09.11,1192000.0,9000.0,1200000.0,1207000.0,1192000.0,466184.0
2,2014.09.05,1201000.0,9000.0,1215000.0,1216000.0,1195000.0,215408.0
3,2014.09.04,1210000.0,21000.0,1210000.0,1216000.0,1202000.0,241999.0
4,2014.09.03,1189000.0,5000.0,1200000.0,1200000.0,1180000.0,424775.0
5,2014.09.02,1194000.0,32000.0,1221000.0,1225000.0,1194000.0,317992.0
9,2014.09.01,1226000.0,8000.0,1236000.0,1237000.0,1224000.0,113281.0
10,2014.08.29,1234000.0,8000.0,1238000.0,1238000.0,1228000.0,291165.0
11,2014.08.28,1242000.0,12000.0,1258000.0,1258000.0,1236000.0,206237.0
12,2014.08.27,1230000.0,8000.0,1223000.0,1237000.0,1222000.0,243420.0
13,2014.08.26,1222000.0,6000.0,1235000.0,1235000.0,1221000.0,214389.0
1,2014.08.25,1228000.0,19000.0,1231000.0,1231000.0,1221000.0,231544.0
2,2014.08.22,1247000.0,12000.0,1245000.0,1247000.0,1235000.0,168153.0
3,2014.08.21,1235000.0,26000.0,1255000.0,1261000.0,1231000.0,342108.0
4,2014.08.20,1261000.0,7000.0,1264000.0,1271000.0,1251000.0,188612.0
5,2014.08.19,1254000.0,4000.0,1264000.0,1273000.0,1253000.0,200888.0
9,2014.08.18,1250000.0,11000.0,1279000.0,1280000.0,1250000.0,210379.0
10,2014.08.14,1261000.0,3000.0,1274000.0,1282000.0,1254000.0,208947.0
11,2014.08.13,1264000.0,2000.0,1275000.0,1275000.0,1248000.0,256900.0
12,2014.08.12,1266000.0,4000.0,1270000.0,1294000.0,1262000.0,179914.0
13,2014.08.11,1270000.0,20000.0,1275000.0,1282000.0,1257000.0,372385.0
1,2014.08.08,1250000.0,40000.0,1284000.0,1285000.0,1248000.0,412429.0
2,2014.08.07,1290000.0,10000.0,1300000.0,1302000.0,1285000.0,190545.0
3,2014.08.06,1300000.0,16000.0,1306000.0,1316000.0,1295000.0,216602.0
4,2014.08.05,1316000.0,1000.0,1301000.0,1321000.0,1300000.0,172529.0
5,2014.08.04,1317000.0,25000.0,1300000.0,1317000.0,1291000.0,241335.0
9,2014.08.01,1292000.0,51000.0,1305000.0,1328000.0,1292000.0,564621.0
10,2014.07.31,1343000.0,52000.0,1374000.0,1385000.0,1336000.0,487027.0
11,2014.07.30,1395000.0,9000.0,1388000.0,1408000.0,1374000.0,347189.0
12,2014.07.29,1386000.0,28000.0,1355000.0,1388000.0,1353000.0,256186.0
13,2014.07.28,1358000.0,3000.0,1355000.0,1367000.0,1344000.0,179851.0
1,2014.07.25,1355000.0,0.0,1346000.0,1355000.0,1335000.0,175803.0
2,2014.07.24,1355000.0,17000.0,1350000.0,1358000.0,1331000.0,161034.0
3,2014.07.23,1338000.0,10000.0,1354000.0,1357000.0,1335000.0,128346.0
4,2014.07.22,1348000.0,5000.0,1348000.0,1358000.0,1345000.0,126019.0
5,2014.07.21,1353000.0,10000.0,1349000.0,1360000.0,1343000.0,161199.0
9,2014.07.18,1343000.0,13000.0,1315000.0,1343000.0,1314000.0,194853.0
10,2014.07.17,1330000.0,9000.0,1326000.0,1335000.0,1320000.0,218454.0
11,2014.07.16,1321000.0,1000.0,1313000.0,1323000.0,1311000.0,182284.0
12,2014.07.15,1320000.0,34000.0,1300000.0,1323000.0,1297000.0,239521.0
13,2014.07.14,1286000.0,2000.0,1298000.0,1300000.0,1286000.0,141643.0
1,2014.07.11,1284000.0,22000.0,1300000.0,1302000.0,1282000.0,215592.0
2,2014.07.10,1306000.0,2000.0,1308000.0,1311000.0,1302000.0,179204.0
3,2014.07.09,1308000.0,13000.0,1287000.0,1308000.0,1283000.0,236598.0
4,2014.07.08,1295000.0,3000.0,1294000.0,1319000.0,1287000.0,241464.0
5,2014.07.07,1292000.0,14000.0,1291000.0,1301000.0,1290000.0,188741.0
9,2014.07.04,1306000.0,12000.0,1322000.0,1326000.0,1303000.0,119577.0
10,2014.07.03,1318000.0,12000.0,1336000.0,1336000.0,1316000.0,170861.0
11,2014.07.02,1330000.0,20000.0,1317000.0,1331000.0,1306000.0,222785.0
12,2014.07.01,1310000.0,12000.0,1308000.0,1314000.0,1301000.0,174508.0
13,2014.06.30,1322000.0,11000.0,1310000.0,1324000.0,1309000.0,177621.0
1,2014.06.27,1311000.0,14000.0,1307000.0,1319000.0,1306000.0,179061.0
2,2014.06.26,1325000.0,5000.0,1309000.0,1343000.0,1307000.0,255306.0
3,2014.06.25,1320000.0,25000.0,1330000.0,1333000.0,1318000.0,204638.0
4,2014.06.24,1345000.0,23000.0,1340000.0,1354000.0,1332000.0,237817.0
5,2014.06.23,1322000.0,21000.0,1321000.0,1332000.0,1316000.0,249765.0
9,2014.06.20,1301000.0,22000.0,1330000.0,1330000.0,1296000.0,478053.0
10,2014.06.19,1323000.0,35000.0,1345000.0,1349000.0,1320000.0,446794.0
11,2014.06.18,1358000.0,16000.0,1373000.0,1376000.0,1356000.0,220887.0
12,2014.06.17,1374000.0,0.0,1360000.0,1378000.0,1351000.0,269535.0
13,2014.06.16,1374000.0,7000.0,1380000.0,1382000.0,1362000.0,306399.0
1,2014.06.13,1367000.0,46000.0,1402000.0,1404000.0,1363000.0,371781.0
2,2014.06.12,1413000.0,9000.0,1430000.0,1430000.0,1401000.0,258863.0
3,2014.06.11,1422000.0,14000.0,1412000.0,1430000.0,1412000.0,172515.0
4,2014.06.10,1436000.0,27000.0,1421000.0,1438000.0,1405000.0,184282.0
5,2014.06.09,1409000.0,48000.0,1470000.0,1473000.0,1402000.0,445392.0
9,2014.06.05,1457000.0,13000.0,1466000.0,1480000.0,1450000.0,270141.0
10,2014.06.03,1470000.0,15000.0,1484000.0,1495000.0,1465000.0,344685.0
11,2014.06.02,1455000.0,12000.0,1443000.0,1458000.0,1439000.0,148789.0
12,2014.05.30,1443000.0,17000.0,1470000.0,1482000.0,1443000.0,316621.0
13,2014.05.29,1460000.0,27000.0,1450000.0,1465000.0,1440000.0,250430.0
1,2014.05.28,1433000.0,26000.0,1419000.0,1435000.0,1409000.0,184019.0
2,2014.05.27,1407000.0,15000.0,1417000.0,1423000.0,1403000.0,94968.0
3,2014.05.26,1422000.0,6000.0,1420000.0,1432000.0,1415000.0,74712.0
4,2014.05.23,1428000.0,2000.0,1405000.0,1428000.0,1405000.0,170233.0
5,2014.05.22,1426000.0,15000.0,1441000.0,1448000.0,1426000.0,190800.0
9,2014.05.21,1441000.0,10000.0,1435000.0,1450000.0,1435000.0,216850.0
10,2014.05.20,1451000.0,3000.0,1445000.0,1454000.0,1435000.0,320146.0
11,2014.05.19,1448000.0,20000.0,1428000.0,1450000.0,1408000.0,385621.0
12,2014.05.16,1428000.0,18000.0,1400000.0,1437000.0,1399000.0,317130.0
13,2014.05.15,1410000.0,5000.0,1414000.0,1419000.0,1403000.0,136134.0
1,2014.05.14,1415000.0,15000.0,1409000.0,1415000.0,1401000.0,222075.0
2,2014.05.13,1400000.0,12000.0,1388000.0,1425000.0,1388000.0,242148.0
3,2014.05.12,1388000.0,53000.0,1336000.0,1395000.0,1332000.0,318896.0
4,2014.05.09,1335000.0,15000.0,1356000.0,1358000.0,1326000.0,263141.0
5,2014.05.08,1350000.0,6000.0,1355000.0,1355000.0,1344000.0,325638.0
9,2014.05.07,1344000.0,2000.0,1350000.0,1356000.0,1340000.0,283794.0
10,2014.05.02,1346000.0,3000.0,1354000.0,1359000.0,1344000.0,298867.0
11,2014.04.30,1343000.0,17000.0,1380000.0,1381000.0,1326000.0,300946.0
12,2014.04.29,1360000.0,28000.0,1389000.0,1395000.0,1351000.0,218184.0
13,2014.04.28,1388000.0,11000.0,1404000.0,1406000.0,1382000.0,188629.0
1,2014.04.25,1399000.0,8000.0,1420000.0,1428000.0,1398000.0,305396.0
2,2014.04.24,1407000.0,18000.0,1409000.0,1409000.0,1399000.0,210924.0
3,2014.04.23,1389000.0,14000.0,1394000.0,1395000.0,1382000.0,190015.0
4,2014.04.22,1375000.0,5000.0,1374000.0,1384000.0,1371000.0,121686.0
5,2014.04.21,1380000.0,2000.0,1379000.0,1386000.0,1375000.0,65985.0
9,2014.04.18,1378000.0,8000.0,1370000.0,1379000.0,1370000.0,190367.0
10,2014.04.17,1370000.0,10000.0,1376000.0,1380000.0,1366000.0,144833.0
11,2014.04.16,1380000.0,10000.0,1370000.0,1392000.0,1363000.0,186171.0
12,2014.04.15,1370000.0,0.0,1386000.0,1387000.0,1369000.0,219396.0
13,2014.04.14,1370000.0,5000.0,1365000.0,1386000.0,1365000.0,211720.0
1,2014.04.11,1365000.0,15000.0,1362000.0,1368000.0,1359000.0,213187.0
2,2014.04.10,1380000.0,9000.0,1369000.0,1380000.0,1360000.0,199984.0
3,2014.04.09,1371000.0,23000.0,1394000.0,1395000.0,1364000.0,321232.0
4,2014.04.08,1394000.0,3000.0,1387000.0,1399000.0,1375000.0,212164.0
5,2014.04.07,1397000.0,17000.0,1397000.0,1397000.0,1374000.0,215235.0
9,2014.04.04,1380000.0,10000.0,1377000.0,1397000.0,1377000.0,368007.0
10,2014.04.03,1390000.0,33000.0,1351000.0,1395000.0,1351000.0,381976.0
11,2014.04.02,1357000.0,18000.0,1350000.0,1357000.0,1343000.0,262001.0
12,2014.04.01,1339000.0,4000.0,1345000.0,1345000.0,1331000.0,221620.0
13,2014.03.31,1343000.0,8000.0,1345000.0,1345000.0,1322000.0,265197.0
1,2014.03.28,1335000.0,2000.0,1320000.0,1338000.0,1320000.0,212974.0
2,2014.03.27,1333000.0,48000.0,1290000.0,1333000.0,1285000.0,417557.0
3,2014.03.26,1285000.0,38000.0,1269000.0,1290000.0,1248000.0,348894.0
4,2014.03.25,1247000.0,26000.0,1269000.0,1270000.0,1241000.0,272500.0
5,2014.03.24,1273000.0,0.0,1260000.0,1274000.0,1259000.0,141478.0
9,2014.03.21,1273000.0,11000.0,1269000.0,1273000.0,1262000.0,166426.0
10,2014.03.20,1262000.0,7000.0,1270000.0,1272000.0,1262000.0,118788.0
11,2014.03.19,1269000.0,9000.0,1280000.0,1285000.0,1268000.0,152771.0
12,2014.03.18,1278000.0,12000.0,1270000.0,1283000.0,1266000.0,220912.0
13,2014.03.17,1266000.0,9000.0,1275000.0,1276000.0,1258000.0,176400.0
1,2014.03.14,1275000.0,15000.0,1270000.0,1285000.0,1270000.0,216736.0
2,2014.03.13,1290000.0,4000.0,1294000.0,1313000.0,1290000.0,235004.0
3,2014.03.12,1294000.0,28000.0,1320000.0,1320000.0,1293000.0,251585.0
4,2014.03.11,1322000.0,2000.0,1320000.0,1327000.0,1309000.0,181596.0
5,2014.03.10,1320000.0,19000.0,1320000.0,1330000.0,1317000.0,173152.0
9,2014.03.07,1339000.0,13000.0,1339000.0,1339000.0,1329000.0,150973.0
10,2014.03.06,1326000.0,4000.0,1329000.0,1329000.0,1310000.0,172335.0
11,2014.03.05,1330000.0,15000.0,1335000.0,1341000.0,1330000.0,149830.0
12,2014.03.04,1315000.0,10000.0,1320000.0,1329000.0,1315000.0,158003.0
13,2014.03.03,1325000.0,24000.0,1336000.0,1340000.0,1321000.0,242083.0
1,2014.02.28,1349000.0,8000.0,1337000.0,1349000.0,1332000.0,284647.0
2,2014.02.27,1341000.0,1000.0,1335000.0,1342000.0,1330000.0,157827.0
3,2014.02.26,1342000.0,8000.0,1337000.0,1343000.0,1325000.0,258361.0
4,2014.02.25,1334000.0,6000.0,1332000.0,1340000.0,1326000.0,175706.0
5,2014.02.24,1328000.0,2000.0,1334000.0,1345000.0,1321000.0,148501.0
9,2014.02.21,1330000.0,44000.0,1333000.0,1333000.0,1300000.0,286924.0
10,2014.02.20,1286000.0,4000.0,1290000.0,1296000.0,1281000.0,190866.0
11,2014.02.19,1290000.0,5000.0,1300000.0,1300000.0,1280000.0,123595.0
12,2014.02.18,1295000.0,10000.0,1285000.0,1299000.0,1282000.0,118213.0
13,2014.02.17,1285000.0,16000.0,1292000.0,1306000.0,1280000.0,187733.0
1,2014.02.14,1301000.0,3000.0,1296000.0,1308000.0,1292000.0,124415.0
2,2014.02.13,1298000.0,9000.0,1300000.0,1320000.0,1290000.0,116769.0
3,2014.02.12,1307000.0,4000.0,1331000.0,1331000.0,1305000.0,200548.0
4,2014.02.11,1311000.0,34000.0,1281000.0,1315000.0,1272000.0,253680.0
5,2014.02.10,1277000.0,2000.0,1271000.0,1281000.0,1262000.0,155993.0
9,2014.02.07,1275000.0,16000.0,1275000.0,1279000.0,1263000.0,198872.0
10,2014.02.06,1259000.0,22000.0,1245000.0,1267000.0,1240000.0,303949.0
11,2014.02.05,1237000.0,12000.0,1245000.0,1255000.0,1234000.0,298533.0
12,2014.02.04,1249000.0,23000.0,1263000.0,1263000.0,1249000.0,320660.0
13,2014.02.03,1272000.0,8000.0,1286000.0,1288000.0,1271000.0,325184.0
1,2014.01.29,1280000.0,3000.0,1280000.0,1288000.0,1277000.0,383637.0
2,2014.01.28,1283000.0,9000.0,1273000.0,1293000.0,1273000.0,234027.0
3,2014.01.27,1292000.0,15000.0,1293000.0,1304000.0,1285000.0,266926.0
4,2014.01.24,1307000.0,8000.0,1300000.0,1318000.0,1291000.0,280035.0
5,2014.01.23,1299000.0,29000.0,1316000.0,1322000.0,1299000.0,206739.0
9,2014.01.22,1328000.0,4000.0,1314000.0,1328000.0,1312000.0,216530.0
10,2014.01.21,1324000.0,8000.0,1315000.0,1327000.0,1311000.0,151246.0
11,2014.01.20,1316000.0,24000.0,1305000.0,1319000.0,1296000.0,173656.0
12,2014.01.17,1292000.0,9000.0,1301000.0,1315000.0,1292000.0,255485.0
13,2014.01.16,1301000.0,2000.0,1300000.0,1310000.0,1293000.0,195049.0
1,2014.01.15,1299000.0,14000.0,1330000.0,1331000.0,1298000.0,234949.0
2,2014.01.14,1313000.0,18000.0,1297000.0,1330000.0,1290000.0,294333.0
3,2014.01.13,1295000.0,23000.0,1283000.0,1297000.0,1273000.0,328987.0
4,2014.01.10,1272000.0,3000.0,1275000.0,1286000.0,1272000.0,363783.0
5,2014.01.09,1275000.0,16000.0,1307000.0,1307000.0,1275000.0,425019.0
9,2014.01.08,1291000.0,13000.0,1300000.0,1304000.0,1287000.0,409493.0
10,2014.01.07,1304000.0,3000.0,1300000.0,1318000.0,1295000.0,395264.0
11,2014.01.06,1307000.0,11000.0,1303000.0,1320000.0,1296000.0,394716.0
12,2014.01.03,1296000.0,13000.0,1300000.0,1311000.0,1287000.0,529932.0
13,2014.01.02,1309000.0,63000.0,1348000.0,1355000.0,1302000.0,620500.0
1,2013.12.30,1372000.0,24000.0,1396000.0,1397000.0,1360000.0,338162.0
2,2013.12.27,1396000.0,12000.0,1410000.0,1411000.0,1395000.0,210200.0
3,2013.12.26,1408000.0,7000.0,1408000.0,1415000.0,1401000.0,246156.0
4,2013.12.24,1415000.0,18000.0,1430000.0,1432000.0,1415000.0,219607.0
5,2013.12.23,1433000.0,6000.0,1437000.0,1438000.0,1429000.0,212784.0
9,2013.12.20,1427000.0,0.0,1413000.0,1427000.0,1413000.0,168148.0
10,2013.12.19,1427000.0,26000.0,1418000.0,1434000.0,1418000.0,211048.0
11,2013.12.18,1401000.0,6000.0,1405000.0,1410000.0,1394000.0,217984.0
12,2013.12.17,1395000.0,5000.0,1417000.0,1417000.0,1393000.0,155248.0
13,2013.12.16,1400000.0,10000.0,1391000.0,1404000.0,1383000.0,179088.0
1,2013.12.13,1390000.0,20000.0,1410000.0,1411000.0,1390000.0,201065.0
2,2013.12.12,1410000.0,10000.0,1396000.0,1410000.0,1396000.0,299241.0
3,2013.12.11,1420000.0,20000.0,1426000.0,1444000.0,1416000.0,212583.0
4,2013.12.10,1440000.0,14000.0,1441000.0,1451000.0,1431000.0,155112.0
5,2013.12.09,1454000.0,26000.0,1440000.0,1454000.0,1440000.0,139938.0
9,2013.12.06,1428000.0,12000.0,1454000.0,1454000.0,1428000.0,182949.0
10,2013.12.05,1440000.0,8000.0,1433000.0,1446000.0,1422000.0,209593.0
11,2013.12.04,1432000.0,29000.0,1450000.0,1453000.0,1431000.0,216880.0
12,2013.12.03,1461000.0,6000.0,1464000.0,1478000.0,1457000.0,155972.0
13,2013.12.02,1467000.0,27000.0,1500000.0,1503000.0,1467000.0,149756.0
1,2013.11.29,1494000.0,0.0,1499000.0,1499000.0,1485000.0,135044.0
2,2013.11.28,1494000.0,24000.0,1480000.0,1494000.0,1479000.0,212898.0
3,2013.11.27,1470000.0,9000.0,1467000.0,1476000.0,1460000.0,187034.0
4,2013.11.26,1479000.0,14000.0,1458000.0,1479000.0,1455000.0,171725.0
5,2013.11.25,1465000.0,15000.0,1451000.0,1472000.0,1451000.0,132306.0
9,2013.11.22,1450000.0,10000.0,1441000.0,1456000.0,1431000.0,171492.0
10,2013.11.21,1440000.0,30000.0,1472000.0,1472000.0,1432000.0,180396.0
11,2013.11.20,1470000.0,19000.0,1473000.0,1487000.0,1464000.0,163563.0
12,2013.11.19,1489000.0,15000.0,1483000.0,1489000.0,1477000.0,163671.0
13,2013.11.18,1474000.0,12000.0,1470000.0,1476000.0,1465000.0,127736.0
1,2013.11.15,1462000.0,38000.0,1434000.0,1462000.0,1432000.0,166785.0
2,2013.11.14,1424000.0,5000.0,1455000.0,1455000.0,1424000.0,202643.0
3,2013.11.13,1419000.0,37000.0,1445000.0,1449000.0,1419000.0,199904.0
4,2013.11.12,1456000.0,28000.0,1440000.0,1466000.0,1436000.0,195698.0
5,2013.11.11,1428000.0,18000.0,1425000.0,1434000.0,1409000.0,171277.0
9,2013.11.08,1410000.0,27000.0,1411000.0,1428000.0,1407000.0,273627.0
10,2013.11.07,1437000.0,14000.0,1451000.0,1454000.0,1425000.0,260136.0
11,2013.11.06,1451000.0,34000.0,1498000.0,1498000.0,1449000.0,244368.0
12,2013.11.05,1485000.0,14000.0,1502000.0,1502000.0,1472000.0,160186.0
13,2013.11.04,1499000.0,1000.0,1492000.0,1502000.0,1489000.0,217756.0
1,2013.11.01,1500000.0,35000.0,1490000.0,1500000.0,1468000.0,227154.0
2,2013.10.31,1465000.0,35000.0,1498000.0,1502000.0,1465000.0,252941.0
3,2013.10.30,1500000.0,10000.0,1485000.0,1500000.0,1484000.0,211768.0
4,2013.10.29,1490000.0,8000.0,1490000.0,1490000.0,1478000.0,206698.0
5,2013.10.28,1482000.0,33000.0,1465000.0,1485000.0,1458000.0,226154.0
9,2013.10.25,1449000.0,0.0,1450000.0,1452000.0,1433000.0,134706.0
10,2013.10.24,1449000.0,7000.0,1431000.0,1449000.0,1429000.0,178313.0
11,2013.10.23,1442000.0,13000.0,1464000.0,1464000.0,1436000.0,171969.0
12,2013.10.22,1455000.0,9000.0,1460000.0,1460000.0,1434000.0,247065.0
13,2013.10.21,1464000.0,8000.0,1475000.0,1489000.0,1454000.0,142521.0
1,2013.10.18,1472000.0,9000.0,1472000.0,1475000.0,1463000.0,157043.0
2,2013.10.17,1463000.0,13000.0,1460000.0,1468000.0,1454000.0,181987.0
3,2013.10.16,1450000.0,7000.0,1469000.0,1469000.0,1445000.0,160212.0
4,2013.10.15,1457000.0,19000.0,1450000.0,1457000.0,1445000.0,200473.0
5,2013.10.14,1438000.0,5000.0,1448000.0,1449000.0,1438000.0,147474.0
9,2013.10.11,1443000.0,13000.0,1440000.0,1447000.0,1436000.0,225083.0
10,2013.10.10,1430000.0,0.0,1421000.0,1432000.0,1421000.0,276380.0
11,2013.10.08,1430000.0,6000.0,1417000.0,1433000.0,1417000.0,210920.0
12,2013.10.07,1436000.0,18000.0,1437000.0,1437000.0,1425000.0,204565.0
13,2013.10.04,1418000.0,0.0,1438000.0,1442000.0,1414000.0,315074.0
1,2013.10.02,1418000.0,36000.0,1398000.0,1425000.0,1390000.0,351727.0
2,2013.10.01,1382000.0,15000.0,1380000.0,1383000.0,1360000.0,195463.0
3,2013.09.30,1367000.0,1000.0,1366000.0,1382000.0,1360000.0,233018.0
4,2013.09.27,1366000.0,6000.0,1375000.0,1377000.0,1363000.0,232265.0
5,2013.09.26,1372000.0,8000.0,1364000.0,1372000.0,1356000.0,207494.0
9,2013.09.25,1364000.0,9000.0,1367000.0,1374000.0,1351000.0,223529.0
10,2013.09.24,1373000.0,13000.0,1342000.0,1379000.0,1338000.0,302778.0
11,2013.09.23,1360000.0,26000.0,1365000.0,1381000.0,1353000.0,487258.0
12,2013.09.17,1386000.0,39000.0,1420000.0,1420000.0,1381000.0,343627.0
13,2013.09.16,1425000.0,19000.0,1423000.0,1425000.0,1411000.0,234214.0
1,2013.09.13,1406000.0,4000.0,1409000.0,1410000.0,1396000.0,245630.0
2,2013.09.12,1410000.0,8000.0,1405000.0,1424000.0,1395000.0,436108.0
3,2013.09.11,1402000.0,6000.0,1398000.0,1402000.0,1385000.0,267060.0
4,2013.09.10,1396000.0,23000.0,1369000.0,1396000.0,1368000.0,294353.0
5,2013.09.09,1373000.0,4000.0,1371000.0,1375000.0,1363000.0,185831.0
9,2013.09.06,1369000.0,4000.0,1370000.0,1375000.0,1358000.0,238759.0
10,2013.09.05,1365000.0,25000.0,1370000.0,1371000.0,1358000.0,302002.0
11,2013.09.04,1340000.0,3000.0,1330000.0,1354000.0,1321000.0,218401.0
12,2013.09.03,1337000.0,14000.0,1364000.0,1364000.0,1326000.0,235970.0
13,2013.09.02,1351000.0,17000.0,1368000.0,1371000.0,1350000.0,201632.0
1,2013.08.30,1368000.0,24000.0,1360000.0,1368000.0,1351000.0,342716.0
2,2013.08.29,1344000.0,35000.0,1317000.0,1348000.0,1314000.0,326300.0
3,2013.08.28,1309000.0,5000.0,1284000.0,1310000.0,1284000.0,189851.0
4,2013.08.27,1304000.0,4000.0,1307000.0,1309000.0,1295000.0,182616.0
